county_id,cbg,date,count
17183,171830105002,2020-01-07,121
17183,171830105002,2020-01-08,125
17183,171830105002,2020-01-09,125
17183,171830105002,2020-01-10,111
17183,171830105002,2020-01-11,115
17183,171830105002,2020-01-12,82
17183,171830002001,2020-01-06,72
17183,171830002001,2020-01-07,100
17183,171830002001,2020-01-08,110
17183,171830002001,2020-01-09,115
17183,171830002001,2020-01-10,131
17183,171830002001,2020-01-11,77
17183,171830002001,2020-01-12,68
17183,171830111002,2020-01-06,13
17183,171830111002,2020-01-07,6
17183,171830111002,2020-01-08,6
17183,171830111002,2020-01-09,7
17183,171830111002,2020-01-10,16
17183,171830111002,2020-01-11,5
17183,171830111002,2020-01-12,4
17183,171830103002,2020-01-06,41
17183,171830103002,2020-01-07,40
17183,171830103002,2020-01-08,45
17183,171830103002,2020-01-09,60
17183,171830103002,2020-01-10,42
17183,171830103002,2020-01-11,34
17183,171830103002,2020-01-12,52
17183,171830001002,2020-01-06,472
17183,171830001002,2020-01-07,485
17183,171830001002,2020-01-08,512
17183,171830001002,2020-01-09,549
17183,171830001002,2020-01-10,607
17183,171830001002,2020-01-11,442
17183,171830001002,2020-01-12,273
17183,171830105003,2020-01-06,75
17183,171830105003,2020-01-07,94
17183,171830105003,2020-01-08,84
17183,171830105003,2020-01-09,82
17183,171830105003,2020-01-10,101
17183,171830105003,2020-01-11,82
17183,171830105003,2020-01-12,44
17183,171830101003,2020-01-06,137
17183,171830101003,2020-01-07,123
17183,171830101003,2020-01-08,118
17183,171830101003,2020-01-09,149
17183,171830101003,2020-01-10,195
17183,171830101003,2020-01-11,91
17183,171830101003,2020-01-12,50
17183,171830112003,2020-01-06,312
17183,171830112003,2020-01-07,324
17183,171830112003,2020-01-08,371
17183,171830112003,2020-01-09,376
17183,171830112003,2020-01-10,329
17183,171830112003,2020-01-11,111
17183,171830112003,2020-01-12,115
17183,171830102005,2020-01-06,91
17183,171830102005,2020-01-07,126
17183,171830102005,2020-01-08,125
17183,171830102005,2020-01-09,140
17183,171830102005,2020-01-10,154
17183,171830102005,2020-01-11,88
17183,171830102005,2020-01-12,78
17183,171830003002,2020-01-06,40
17183,171830003002,2020-01-07,56
17183,171830003002,2020-01-08,49
17183,171830003002,2020-01-09,49
17183,171830003002,2020-01-10,40
17183,171830003002,2020-01-11,27
17183,171830003002,2020-01-12,24
17183,171830009002,2020-01-06,80
17183,171830009002,2020-01-07,90
17183,171830009002,2020-01-08,90
17183,171830009002,2020-01-09,98
17183,171830009002,2020-01-10,109
17183,171830009002,2020-01-11,48
17183,171830009002,2020-01-12,48
17183,171830108004,2020-01-06,17
17183,171830108004,2020-01-07,18
17183,171830108004,2020-01-08,22
17183,171830108004,2020-01-09,28
17183,171830108004,2020-01-10,26
17183,171830108004,2020-01-11,21
17183,171830108004,2020-01-12,19
17183,171830002002,2020-01-06,67
17183,171830002002,2020-01-07,76
17183,171830002002,2020-01-08,68
17183,171830002002,2020-01-09,74
17183,171830002002,2020-01-10,65
17183,171830002002,2020-01-11,64
17183,171830002002,2020-01-12,43
17183,171830101002,2020-01-06,93
17183,171830101002,2020-01-07,132
17183,171830101002,2020-01-08,120
17183,171830101002,2020-01-09,134
17183,171830101002,2020-01-10,133
17183,171830101002,2020-01-11,111
17183,171830101002,2020-01-12,101
17183,171830003001,2020-01-06,86
17183,171830003001,2020-01-07,97
17183,171830003001,2020-01-08,81
17183,171830003001,2020-01-09,79
17183,171830003001,2020-01-10,121
17183,171830003001,2020-01-11,74
17183,171830003001,2020-01-12,79
17183,171830109001,2020-01-06,27
17183,171830109001,2020-01-07,23
17183,171830109001,2020-01-08,42
17183,171830109001,2020-01-09,28
17183,171830109001,2020-01-10,36
17183,171830109001,2020-01-11,30
17183,171830109001,2020-01-12,18
17183,171830108001,2020-01-06,3
17183,171830108001,2020-01-07,12
17183,171830108001,2020-01-08,7
17183,171830108001,2020-01-09,12
17183,171830108001,2020-01-10,12
17183,171830108001,2020-01-11,13
17183,171830108001,2020-01-12,7
17183,171830004001,2020-01-06,126
17183,171830004001,2020-01-07,155
17183,171830004001,2020-01-08,155
17183,171830004001,2020-01-09,136
17183,171830004001,2020-01-10,137
17183,171830004001,2020-01-11,72
17183,171830004001,2020-01-12,236
17183,171830103001,2020-01-06,25
17183,171830103001,2020-01-07,89
17183,171830103001,2020-01-08,28
17183,171830103001,2020-01-09,26
17183,171830103001,2020-01-10,28
17183,171830103001,2020-01-11,2
17183,171830103001,2020-01-12,2
17183,171830104001,2020-01-06,0
17183,171830104001,2020-01-07,1
17183,171830104001,2020-01-08,4
17183,171830104001,2020-01-09,0
17183,171830104001,2020-01-10,6
17183,171830104001,2020-01-11,1
17183,171830104001,2020-01-12,5
17183,171830008002,2020-01-06,171
17183,171830008002,2020-01-07,172
17183,171830008002,2020-01-08,185
17183,171830008002,2020-01-09,178
17183,171830008002,2020-01-10,172
17183,171830008002,2020-01-11,94
17183,171830008002,2020-01-12,69
17183,171830103003,2020-01-06,16
17183,171830103003,2020-01-07,12
17183,171830103003,2020-01-08,11
17183,171830103003,2020-01-09,22
17183,171830103003,2020-01-10,12
17183,171830103003,2020-01-11,3
17183,171830103003,2020-01-12,13
17183,171830013001,2020-01-06,4
17183,171830013001,2020-01-07,4
17183,171830013001,2020-01-08,5
17183,171830013001,2020-01-09,7
17183,171830013001,2020-01-10,4
17183,171830013001,2020-01-11,7
17183,171830013001,2020-01-12,4
17183,171830102004,2020-01-06,135
17183,171830102004,2020-01-07,145
17183,171830102004,2020-01-08,125
17183,171830102004,2020-01-09,147
17183,171830102004,2020-01-10,141
17183,171830102004,2020-01-11,57
17183,171830102004,2020-01-12,62
17183,171830004002,2020-01-06,92
17183,171830004002,2020-01-07,119
17183,171830004002,2020-01-08,99
17183,171830004002,2020-01-09,113
17183,171830004002,2020-01-10,107
17183,171830004002,2020-01-11,47
17183,171830004002,2020-01-12,38
17183,171830107012,2020-01-06,19
17183,171830107012,2020-01-07,16
17183,171830107012,2020-01-08,13
17183,171830107012,2020-01-09,14
17183,171830107012,2020-01-10,12
17183,171830107012,2020-01-11,16
17183,171830107012,2020-01-12,13
17183,171830105001,2020-01-06,5
17183,171830105001,2020-01-07,3
17183,171830105001,2020-01-08,16
17183,171830105001,2020-01-09,18
17183,171830105001,2020-01-10,26
17183,171830105001,2020-01-11,26
17183,171830105001,2020-01-12,9
17183,171830109002,2020-01-06,44
17183,171830109002,2020-01-07,50
17183,171830109002,2020-01-08,48
17183,171830109002,2020-01-09,50
17183,171830109002,2020-01-10,71
17183,171830109002,2020-01-11,115
